kepoi_name,koi_disposition,kepid,koi_period,koi_time0bk,koi_duration,koi_depth,koi_max_sngle_ev,koi_max_mult_ev,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag
K05490.01,FALSE POSITIVE,8234889,116.301793,168.3304,2.253,649.0,,,,5593.0,4.552,-0.08,0.842,0.92,292.38724,44.13007,15.503
K05491.01,FALSE POSITIVE,8241258,480.19416,257.1738,10.76,372.3,,,,6072.0,4.51,-0.24,0.923,1.005,294.59424,44.110592,14.382
K05492.01,FALSE POSITIVE,8241736,368.49828,233.4248,14.903,581.9,,,,5255.0,4.527,-0.26,0.783,0.754,294.74133,44.131809,14.697
K05493.01,FALSE POSITIVE,8242350,6.993576155,131.988507,21.2695,2924.0,16.999641,115.58154,198.0,6565.0,3.803,-0.2,2.467,1.414,294.93457,44.12981,12.594
K05494.01,FALSE POSITIVE,8244947,223.52131732,185.1827031,3.27,,,,,,,,,,295.76822,44.167011,13.658
K05614.01,FALSE POSITIVE,9101279,1.811461128,132.9324534,8.42343,921670.0,1462.2104,14113.667,0.0,8572.0,3.776,-0.2,3.034,2.009,296.00156,45.448132,13.947
K05615.01,FALSE POSITIVE,9108058,2.17491508,131.93954,8.4418,635410.0,331.16937,1512.6267,0.0,6792.0,4.143,-0.14,1.636,1.364,297.78107,45.424278,14.281
K05616.01,CANDIDATE,9114614,441.61919,348.5033,5.372,820.0,,,,4351.0,4.659,-0.44,0.592,0.582,299.56708,45.47356,14.497
K05617.01,FALSE POSITIVE,9116075,24.5002702,154.6193,4.079,153.5,3.8842542,10.801541,56.0,4519.0,4.688,-0.42,0.597,0.641,299.97076,45.448738,13.511
K05618.01,CANDIDATE,9116510,318.49078,167.0042,3.012,630.0,,,,6026.0,4.302,-0.1,1.176,1.01,300.08292,45.411072,14.582
K05619.01,FALSE POSITIVE,9117123,2.16402661,133.5762679,2.78,,107.961174,19.860775,618.0,,,,,,300.24493,45.498039,15.09
K05620.01,FALSE POSITIVE,9118858,392.89275632,436.2879702,4.93,,,,,,,,,,300.72061,45.460869,13.802
K05621.01,FALSE POSITIVE,9137257,114.734287,231.5017,3.724,242.9,,,,5083.0,4.569,-0.44,0.71,0.68,283.03592,45.577709,14.259
K05741.01,CANDIDATE,9953491,362.0619,154.1605,14.02,886.2,,,,5271.0,4.636,-0.4,0.698,0.773,292.75555,46.81184,15.766
K05742.01,FALSE POSITIVE,9954225,1.340649911,132.05521,5.0912,627630.0,783.9772,2691.6582,0.0,6332.0,4.26,-0.42,1.222,0.991,293.0744,46.899979,14.558
K05743.01,FALSE POSITIVE,9957659,30.69537638,155.71927,5.6634,19941.0,122.33882,245.38676,10.0,6185.0,4.356,0.12,1.192,1.179,294.47601,46.86166,15.496
K05744.01,FALSE POSITIVE,9957668,30.69533113,155.7207691,5.94855,88771.0,1992.3325,8449.908,44.0,6335.0,4.171,-0.74,1.286,0.894,294.4783,46.863811,12.508
K05745.01,CANDIDATE,9962595,11.374442708,142.4558524,2.30694,27905.0,210.74713,1209.9965,93.0,5297.0,4.546,-0.06,0.808,0.838,296.32794,46.83963,14.585
K05746.01,FALSE POSITIVE,9967398,49.873958,167.55502,1.351,562.0,,,,4979.0,4.632,-0.76,0.629,0.618,297.828,46.884602,15.518
K05747.01,CANDIDATE,9968924,411.447056,522.27374,3.481,285.2,,,,6519.0,4.108,-0.1,1.672,1.311,298.27487,46.837372,13.81
K05748.01,CANDIDATE,9993683,29.9371143,145.1081,4.435,194.3,4.789839,9.361239,44.0,5115.0,4.47,0.12,0.866,0.808,282.50021,46.918571,14.489
K05368.01,FALSE POSITIVE,7192680,114.25041494,235.8523992,2.11,,,,,,,,,,289.44095,42.741638,15.872
K05369.01,CANDIDATE,7198587,651.358046,213.18162,4.384,570.8,,,,5122.0,3.172,0.1,6.261,2.123,291.26584,42.739491,12.888
K05370.01,FALSE POSITIVE,7203858,407.97623,378.6999,14.69,237.5,,,,7612.0,3.787,-0.08,2.968,1.969,292.89294,42.776581,12.234
K05371.01,CANDIDATE,7204233,33.3037881,149.4642,3.003,272.4,3.3094385,8.152118,34.0,4899.0,4.624,0.07,0.713,0.818,293.00269,42.708851,14.733
K05372.01,CANDIDATE,7205717,212.60398,213.4113,5.74,188.5,,,,5834.0,4.284,0.08,1.207,1.022,293.44861,42.744911,14.01
K05373.01,CANDIDATE,7206422,50.550788,131.5846,2.353,154.5,,,,5031.0,3.433,0.04,3.859,1.47,293.64182,42.736019,11.509
K05374.01,FALSE POSITIVE,7207081,239.25578975,133.1367334,5.21,,,,,,,,,,293.82782,42.771709,13.816
K05375.01,CANDIDATE,7213311,285.374561,311.29883,4.865,482.3,4.734784,7.220403,5.0,5142.0,3.47,-0.66,2.756,0.817,295.51764,42.758942,13.863
K05495.01,FALSE POSITIVE,8255058,6.279888981,135.296067,5.5086,1514.6,36.342937,141.27522,216.0,5057.0,3.137,0.0,6.222,1.936,298.43073,44.192451,13.285
K05496.01,FALSE POSITIVE,8265239,37.47695717,150.6694873,1.46,,,,,,,,,,301.15225,44.185116,14.508
K05497.01,CANDIDATE,8279146,93.359737,155.8348,5.397,38.3,,,,6809.0,4.078,-0.4,1.673,1.224,282.24631,44.28228,10.926
K05498.01,FALSE POSITIVE,8288404,519.80221867,462.625278,14.9678,77183.0,893.8653,1383.5038,3.0,5310.0,4.356,0.24,1.03,0.879,287.2117,44.283192,12.651
K05499.01,CANDIDATE,8294683,122.58481,178.4735,22.37,318.9,,,,5003.0,4.602,-0.54,0.669,0.654,290.01547,44.205582,15.443
K05500.01,CANDIDATE,8295087,84.934357,157.8966,3.169,129.7,,,,6290.0,4.156,-0.38,1.395,1.016,290.15518,44.254017,13.67
K05501.01,FALSE POSITIVE,8300828,48.9200563,163.9628,2.295,333.9,,,,5375.0,4.433,-0.12,0.899,0.8,292.22482,44.29277,14.981
K05502.01,CANDIDATE,8307489,421.98194,226.9386,13.799,173.1,,,,6760.0,4.193,-0.16,1.515,1.314,294.61761,44.216881,12.338
K05622.01,CONFIRMED,9141355,469.61309,422.5089,13.709,1234.7,9.01089,13.892415,3.0,5474.0,4.598,-0.28,0.763,0.847,285.349,45.556179,15.696
K05623.01,FALSE POSITIVE,9142225,583.73632,174.6085,15.75,338.6,6.400564,7.1517906,3.0,6003.0,4.176,0.12,1.442,1.139,285.80096,45.571739,14.495
K05624.01,FALSE POSITIVE,9142334,502.658,174.6294,19.51,216.0,,,,3754.0,4.773,-0.2,0.473,0.483,285.85172,45.511349,13.676
K05625.01,CANDIDATE,9147012,116.454312,161.9891,15.826,2125.3,14.895195,19.996113,4.0,5197.0,4.548,-0.44,0.736,0.697,288.42819,45.566269,16.017
K05626.01,CANDIDATE,9147029,397.499229,418.76194,8.019,2629.7,,,,6423.0,4.37,0.21,1.231,1.296,288.43582,45.519852,15.312
K05627.01,FALSE POSITIVE,9153246,243.954706,221.2717,2.562,291.7,,,,5578.0,4.578,-0.24,0.794,0.87,291.27625,45.568192,14.43
K05628.01,CANDIDATE,9157030,24.9093027,155.3824,3.8,332.6,3.8294976,8.850599,53.0,4810.0,4.633,-0.14,0.685,0.751,292.81415,45.546501,15.712
K05629.01,CANDIDATE,9157523,192.138741,269.2098,3.218,151.4,,,,6065.0,4.098,0.02,1.569,1.126,293.01486,45.577831,12.534
K05749.01,CANDIDATE,9994381,281.95332,231.2826,2.756,1039.0,,,,4864.0,4.628,-0.18,0.692,0.746,282.93451,46.994869,15.399
K05750.01,FALSE POSITIVE,10002266,12.71368909,136.9328,1.875,192.2,3.839564,8.373584,107.0,5715.0,4.586,-0.4,0.782,0.872,287.56247,46.95116,15.127
K05751.01,FALSE POSITIVE,10004515,25.26363805,139.3088062,2.72,,,,,,,,,,288.73169,46.943699,12.231
K05752.01,FALSE POSITIVE,10004772,1.391716834,132.09937,1.421,41.0,4.207221,12.014157,960.0,3749.0,0.833,-0.26,59.684,0.885,288.85568,46.997261,13.71
K05753.01,FALSE POSITIVE,10006096,70.516233809,142.8575773,4.09296,330180.0,1478.2789,3682.9192,0.0,5511.0,4.531,-0.42,0.789,0.773,289.49918,46.92865,15.284
K05754.01,FALSE POSITIVE,10007492,2.645596805,133.705953,2.9095,1272.7,16.664562,165.9034,505.0,4980.0,3.167,-0.02,5.443,1.589,290.08661,46.945202,12.375
K05755.01,CANDIDATE,10007916,388.67155,211.0496,11.701,371.3,,,,5354.0,4.587,-0.08,0.788,0.884,290.23773,46.980042,14.829
K05756.01,FALSE POSITIVE,10018364,105.6327297,229.1273427,2.73,,,,,,,,,,294.52576,46.994301,13.568
K05376.01,FALSE POSITIVE,7255910,274.553579,158.0863,5.95,218.3,,,,6267.0,4.334,-0.36,1.118,0.981,281.28262,42.89959,13.715
K05377.01,FALSE POSITIVE,7256460,251.02304011,194.2011858,3.11,,,,,,,,,,281.59372,42.871609,13.439
K05378.01,FALSE POSITIVE,7258902,1.80774253,132.9483,2.637,592.6,5.48833,12.913587,304.0,5164.0,3.88,-0.22,1.779,0.876,282.78036,42.80621,15.651
K05379.01,CANDIDATE,7282470,520.655224,160.5611,12.94,314.9,,,,5227.0,3.321,-0.44,4.313,1.419,291.9227,42.892921,12.518
K05380.01,CANDIDATE,7289139,369.93355,175.282,7.6,995.0,,,,6158.0,4.453,-0.08,1.024,1.08,293.96146,42.806419,15.524
K05381.01,FALSE POSITIVE,7345136,28.7369766,153.842,1.586,525.0,,,,5722.0,4.547,-0.14,0.854,0.937,285.40469,42.907589,15.642
K05382.01,FALSE POSITIVE,7352727,2.45649061,133.21452,2.844,287.8,3.931434,12.115532,546.0,4870.0,2.486,-0.78,8.531,0.812,288.57425,42.913288,10.45
K05383.01,FALSE POSITIVE,7375100,98.51783198,173.7083904,1.65,,,,,,,,,,295.34177,42.9958,14.037
K05503.01,FALSE POSITIVE,8308639,457.513348,138.6556,5.763,562.5,,,,5047.0,2.966,-0.08,7.821,2.064,294.98322,44.217911,13.853
K05504.01,FALSE POSITIVE,8313697,224.02589924,335.8214821,2.93,,,,,,,,,,296.55786,44.2831,15.496
K05505.01,FALSE POSITIVE,8351919,323.77153,191.0744,17.57,353.7,,,,5196.0,4.586,0.04,0.784,0.863,285.75095,44.356979,14.458
K05506.01,CANDIDATE,8352009,641.60204,170.8404,16.762,237.3,,,,6277.0,4.449,-0.18,1.031,1.085,285.79572,44.35051,14.152
K05507.01,FALSE POSITIVE,8352016,40.0389613,156.35794,1.711,109.4,,,,5701.0,4.437,-0.38,0.903,0.813,285.79947,44.34819,13.699
K05508.01,FALSE POSITIVE,8364969,22.571972634,145.0344991,4.00349,79326.0,333.0179,1837.6675,58.0,5645.0,4.431,-0.54,0.871,0.746,291.59738,44.398521,15.45
K05509.01,CANDIDATE,8378278,28.406342,133.0507,2.598,223.6,,,,6085.0,4.474,-0.36,0.936,0.952,296.18494,44.342991,15.423
K05510.01,FALSE POSITIVE,8380743,1.018861199,132.07252,6.5005,291210.0,1289.7445,7600.7354,0.0,6225.0,4.009,-0.4,1.672,1.041,296.90295,44.351231,14.039
K05630.01,FALSE POSITIVE,9159461,80.519237,164.0077,4.044,92.5,,,,6251.0,4.378,-0.06,1.119,1.089,293.75519,45.500839,12.725
K05631.01,FALSE POSITIVE,9164003,149.356804,278.1387,15.415,171.6,,,,6569.0,3.842,-0.48,2.203,1.232,295.4079,45.535233,13.825
K05632.01,CANDIDATE,9166700,264.466625,134.96749,6.371,437.3,14.725141,29.013546,5.0,6551.0,4.337,-0.1,1.236,1.213,296.33813,45.545109,11.154
K05633.01,CANDIDATE,9173014,151.77884,204.5209,2.615,189.7,,,,6328.0,3.634,-0.14,3.134,1.542,298.11365,45.563419,11.141
K05634.01,FALSE POSITIVE,9178502,50.47759052,141.7787075,2.02,,,,,,,,,,299.63815,45.58778,12.909
K05635.01,CANDIDATE,9178894,113.993156,171.1834,7.721,69.7,,,,7892.0,3.921,-0.08,2.496,1.894,299.74387,45.586361,11.176
